Company Name	Exchange:Ticker	Market Capitalization	Total Enterprise Value	Total Revenue	EBITDA	P_LTM Diluted EPS Before Extra	Diluted EPS before Extra 1 Yr Growth	Diluted EPS before Extra 5 Yr CAGR	Diluted EPS before Extra 10 Yr CAGR	Day Close Price	Shares Outstanding	Dividend Yield	Current Ratio	Total Equity	Total Assets	Total Liabilities	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Return on Equity	Return on Assets	Gross Margin	Earnings from Cont Ops Margin	Total Debt_Equity	Est Annual EPS Growth  1 Yr	Est Annual EPS Growth  2 Yr	LT EPS Growth Rate
"1800FLOWERS.COM, Inc. (NasdaqGS:FLWS)"	NasdaqGS:FLWS	627.2	680.2	"1,188.50"	76	25.8	32	18.3	7.58	9.6	65.3		2.12	242.6	539.8	264.4	0.55	0.55	0.373	0.373	9.52	4.91	44	2.1	39.9	4.94	8.24	19
"1347 Property Insurance Holdings, Inc. (NasdaqGM:PIH)"	NasdaqGM:PIH	46.5	11.9	32.4	2.62	34.7	NM			7.8	5.96		1.35	46.4	91.8	45.2	0.002	0.002	0.225	0.225	2.95	1.82	30.8	4.24	5.49			
1st Constitution Bancorp (NasdaqGM:FCCY)	NasdaqGM:FCCY	138.5		43.4		15.7	3.69	8.38		17.25	8.03	1.16		104.8	"1,009.90"	903.2	1.14	1.14	1.1	1.1	8.78	0.92		20.8		3.51	0.438	
1st Source Corporation (NasdaqGS:SRCE)	NasdaqGS:SRCE	"1,260.40"		256.9		21.1	5.45	4.85		48.62	25.9	1.56		672.7	"5,501.50"	"4,815.60"	2.22	2.22	2.31	2.31	9.01	1.12		23.4		12.5	12.4	10
"21Vianet Group, Inc. (NasdaqGS:VNET)"	NasdaqGS:VNET	530.4	913.3	528.9	17.6	NM	NM			4.69	113.1		1.16	986.7	"1,784.60"	813.9	1.18	1.18	1.08	1.08	15.8	2.92	19.9	24.6	47.5			
"22nd Century Group, Inc. (AMEX:XXII)"	AMEX:XXII	149.1	138.7	11.5	10.3	NM	NM			1.64	90.9		4.15	24.3	25.4	3.48	0.15	0.15	0.14	0.14	56.8	30.3	7.2	95.3	1.44			
"2U, Inc. (NasdaqGS:TWOU)"	NasdaqGS:TWOU	"2,251.60"	"2,122.50"	223.2	18.5	NM	NM			47.36	47.5		3.56	195.2	260.7	64.9	0.444	0.444	0.442	0.442	10.6	5.33	81	9.29	7.05			30
3D Systems Corporation (NYSE:DDD)	NYSE:DDD	"2,111.20"	"1,963.40"	636.8	35.4	NM	NM			18.55	113.8		2.89	635.6	865.6	222.3	0.346	0.346	0.276	0.276	4.8	1.77	49.1	4.93	1.25	11.6	17.1	11
3M Company (NYSE:MMM)	NYSE:MMM	"126,477.40"	"135,928.40"	"30,385.00"	"8,685.00"	25.6	6.3	6.42	3.73	211.77	597.2	2.22	1.99	"10,343.00"	"33,292.00"	"22,252.00"	8.16	8.16	8.27	8.27	44.8	13.6	49.9	16.8	106.1	9.75	8.21	9.67
500.com Limited (NYSE:WBAI)	NYSE:WBAI	441.9	236.7	3.94	43.7	NM	NM			10.82	40.8		11.7	260.4	283.8	28.4	0.706	0.706	0.614	0.614	9.92	10.1	40.4					
